age,friv
483.748,29774544850.82215
483.747,29773664858.7181
483.746,29772785122.901554
483.745,29771905643.6476
483.744,29771026421.228184
483.743,29770147455.912132
483.742,29769268747.96521
483.741,29768390297.6501
483.74,29767512105.226482
483.739,29766634170.95103
483.738,29765756495.077446
483.737,29764879077.85651
483.736,29764001919.536087
483.735,29763125020.361164
483.734,29762248380.573864
483.733,29761372000.413506
483.732,29760495880.116585
483.731,29759620019.91684
483.73,29758744420.045277
483.729,29757869080.73016
483.728,29756994002.197083
483.727,29756119184.668964
483.726,29755244628.366093
483.725,29754370333.506123
483.724,29753496300.304153
483.723,29752622528.972694
483.722,29751749019.72173
483.721,29750875772.758717
483.72,29750002788.288643
483.719,29749130066.514023
483.718,29748257607.63492
483.717,29747385411.848988
483.716,29746513479.351494
483.715,29745641810.335323
483.714,29744770404.991016
483.713,29743899263.50679
483.712,29743028386.068558
483.711,29742157772.859955
483.71,29741287424.06235
483.709,29740417339.854885
483.708,29739547520.414486
483.707,29738677965.915882
483.706,29737808676.531628
483.705,29736939652.432137
483.704,29736070893.785683
483.703,29735202400.758442
483.702,29734334173.51449
483.701,29733466212.21583
483.7,29732598517.022427
483.699,29731731088.092224
483.698,29730863925.581135
483.697,29729997029.6431
483.696,29729130400.430084
483.695,29728264038.09209
483.694,29727397942.777214
483.693,29726532114.63161
483.692,29725666553.799557
483.691,29724801260.423443
483.69,29723936234.64381
483.689,29723071476.599354
483.688,29722206986.426945
483.687,29721342764.26165
483.686,29720478810.236755
483.685,29719615124.48377
483.684,29718751707.13245
483.683,29717888558.310818
483.682,29717025678.145172
483.681,29716163066.76012
483.68,29715300724.278572
483.679,29714438650.821766
483.678,29713576846.509296
483.677,29712715311.459126
483.676,29711854045.787567
483.675,29710993049.60936
483.674,29710132323.037636
483.673,29709271866.183952
483.672,29708411679.158318
483.671,29707551762.06918
483.67,29706692115.023468
483.669,29705832738.1266
483.668,29704973631.48248
483.667,29704114795.19353
483.666,29703256229.36072
483.665,29702397934.08354
483.664,29701539909.460052
483.663,29700682155.586876
483.662,29699824672.55923
483.661,29698967460.47092
483.66,29698110519.41438
483.659,29697253849.480644
483.658,29696397450.759415
483.657,29695541323.33903
483.656,29694685467.30649
483.655,29693829882.747494
483.654,29692974569.74641
483.653,29692119528.386322
483.652,29691264758.749023
483.651,29690410260.915043
483.65,29689556034.96365
483.649,29688702080.972866
483.648,29687848399.019474
483.647,29686994989.17904
483.646,29686141851.525917
483.645,29685288986.133266
483.644,29684436393.073048
483.643,29683584072.416065
483.642,29682732024.23193
483.641,29681880248.589134
483.64,29681028745.555
483.639,29680177515.195736
483.638,29679326557.576424
483.637,29678475872.761036
483.636,29677625460.812454
483.635,29676775321.792458
483.634,29675925455.76177
483.633,29675075862.78002
483.632,29674226542.90582
483.631,29673377496.19669
483.63,29672528722.709145
483.629,29671680222.49868
483.628,29670831995.619743
483.627,29669984042.125805
483.626,29669136362.069332
483.625,29668288955.501793
483.624,29667441822.4737
483.623,29666594963.03458
483.622,29665748377.23301
483.621,29664902065.11662
483.62,29664056026.73209
483.619,29663210262.125183
483.618,29662364771.34074
483.617,29661519554.42268
483.616,29660674611.414024
483.615,29659829942.356888
483.614,29658985547.29253
483.613,29658141426.2613
483.612,29657297579.30269
483.611,29656454006.455338
483.61,29655610707.757027
483.609,29654767683.24469
483.608,29653924932.954422
483.607,29653082456.92151
483.606,29652240255.180393
483.605,29651398327.76472
483.604,29650556674.707336
483.603,29649715296.040276
483.602,29648874191.794796
483.601,29648033362.001373
483.6,29647192806.6897
483.599,29646352525.88873
483.598,29645512519.62663
483.597,29644672787.930824
483.596,29643833330.828
483.595,29642994148.344105
483.594,29642155240.504364
483.593,29641316607.333267
483.592,29640478248.854603
483.591,29639640165.09143
483.59,29638802356.066147
483.589,29637964821.80041
483.588,29637127562.315235
483.587,29636290577.630905
483.586,29635453867.767082
483.585,29634617432.742718
483.584,29633781272.57613
483.583,29632945387.284973
483.582,29632109776.886246
483.581,29631274441.396313
483.58,29630439380.8309
483.579,29629604595.20511
483.578,29628770084.533413
483.577,29627935848.829678
483.576,29627101888.107132
483.575,29626268202.378418
483.574,29625434791.65559
483.573,29624601655.950085
483.572,29623768795.27276
