age,ratio
483.737,0.7037
483.736,0.7037
483.735,0.7037
483.734,0.7037
483.733,0.7037
483.732,0.7037
483.731,0.7037
483.73,0.7037
483.729,0.7037
483.728,0.7037
483.727,0.7037
483.726,0.7037
483.725,0.7037
483.724,0.7037
483.723,0.7037
483.722,0.7037
483.721,0.7037
483.72,0.7037
483.719,0.7037
483.718,0.7037
483.717,0.7037
483.716,0.7037
483.715,0.7037
483.714,0.7037
483.713,0.7037
483.712,0.7037
483.711,0.7037
483.71,0.7037
483.709,0.7037
483.708,0.7037
483.707,0.7037
483.706,0.7037
483.705,0.7037
483.704,0.7037
483.703,0.7037
483.702,0.7037
483.701,0.7037
483.7,0.7037
483.699,0.7037
483.698,0.7037
483.697,0.7037
483.696,0.7037
483.695,0.7037
483.694,0.7037
483.693,0.7037
483.692,0.7037
483.691,0.7037
483.69,0.7037
483.689,0.7037
483.688,0.7037
483.687,0.7037
483.686,0.7037
483.685,0.7037
483.684,0.7037
483.683,0.7037
483.682,0.7037
483.681,0.7037
483.68,0.7037
483.679,0.7037
483.678,0.7037
483.677,0.7037
483.676,0.7037
483.675,0.7037
483.674,0.7037
483.673,0.7037
483.672,0.7037
483.671,0.7037
483.67,0.7037
483.669,0.7037
483.668,0.7037
483.667,0.7037
483.666,0.7037
483.665,0.7037
483.664,0.7037
483.663,0.7037
483.662,0.7037
483.661,0.7037
483.66,0.7037
483.659,0.7037
483.658,0.7037
483.657,0.7037
483.656,0.7037
483.655,0.7037
483.654,0.7037
483.653,0.7037
483.652,0.7037
483.651,0.7037
483.65,0.7037
483.649,0.7037
483.648,0.7037
483.647,0.7037
483.646,0.7037
483.645,0.7037
483.644,0.7037
483.643,0.7037
483.642,0.7037
483.641,0.7037
483.64,0.7037
483.639,0.7037
483.638,0.7037
483.637,0.7037
483.636,0.7037
483.635,0.7037
483.634,0.7037
483.633,0.7037
483.632,0.7037
483.631,0.7037
483.63,0.7037
483.629,0.7037
483.628,0.7037
483.627,0.7037
483.626,0.7037
483.625,0.7037
483.624,0.7037
483.623,0.7037
483.622,0.7037
483.621,0.7037
483.62,0.7037
483.619,0.7037
483.618,0.7037
483.617,0.7037
483.616,0.7037
483.615,0.7037
483.614,0.7037
483.613,0.7037
483.612,0.7037
483.611,0.7037
483.61,0.7037
483.609,0.7037
483.608,0.7037
483.607,0.7037
483.606,0.7037
483.605,0.7037
483.604,0.7037
483.603,0.7037
483.602,0.7037
483.601,0.7037
483.6,0.7037
483.599,0.7037
483.598,0.7037
483.597,0.7037
483.596,0.7037
483.595,0.7037
483.594,0.7037
483.593,0.7037
483.592,0.7037
483.591,0.7037
483.59,0.7037
483.589,0.7037
483.588,0.7037
483.587,0.7037
483.586,0.7037
483.585,0.7037
483.584,0.7037
483.583,0.7037
483.582,0.7037
483.581,0.7037
483.58,0.7037
483.579,0.7037
483.578,0.7037
483.577,0.7037
483.576,0.7037
483.575,0.7037
483.574,0.7037
483.573,0.7037
483.572,0.7037
483.571,0.7037
483.57,0.7037
483.569,0.7037
483.568,0.7037
483.567,0.7037
483.566,0.7037
483.565,0.7037
483.564,0.7037
483.563,0.7037
483.562,0.7037
483.561,0.7037
483.56,0.7037
483.559,0.7037
483.558,0.7037
483.557,0.7037
483.556,0.7037
483.555,0.7037
483.554,0.7037
483.553,0.7037
483.552,0.7037
483.551,0.7037
483.55,0.7037
483.549,0.7037
483.548,0.7037
483.547,0.7037
483.546,0.7037
483.545,0.7037
483.544,0.7037
483.543,0.7037
483.542,0.7037
483.541,0.7037
483.54,0.7037
483.539,0.7037
483.538,0.7037
483.537,0.7037
483.536,0.7037
483.535,0.7037
483.534,0.7037
483.533,0.7037
483.532,0.7037
483.531,0.7037
483.53,0.7037
483.529,0.7037
483.528,0.7037
483.527,0.7037
483.526,0.7037
483.525,0.7037
483.524,0.7037
483.523,0.7037
483.522,0.7037
483.521,0.7037
483.52,0.7037
483.519,0.7037
483.518,0.7037
483.517,0.7037
483.516,0.7037
483.515,0.7037
483.514,0.7037
483.513,0.7037
483.512,0.7037
483.511,0.7037
483.51,0.7037
483.509,0.7037
483.508,0.7037
483.507,0.7037
483.506,0.7037
483.505,0.7037
483.504,0.7037
483.503,0.7037
483.502,0.7037
483.501,0.7037
483.5,0.7037
483.499,0.7037
483.498,0.7037
483.497,0.7037
483.496,0.7037
483.495,0.7037
483.494,0.7037
483.493,0.7037
483.492,0.7037
483.491,0.7037
483.49,0.7037
483.489,0.7037
483.488,0.7037
483.487,0.7037
483.486,0.7037
483.485,0.7037
483.484,0.7037
483.483,0.7037
483.482,0.7037
483.481,0.7037
483.48,0.7037
483.479,0.7037
483.478,0.7037
483.477,0.7037
483.476,0.7037
483.475,0.7037
483.474,0.7037
483.473,0.7037
483.472,0.7037
483.471,0.7037
483.47,0.7037
483.469,0.7037
483.468,0.7037
483.467,0.7037
483.466,0.7037
483.465,0.7037
483.464,0.7037
483.463,0.7037
483.462,0.7037
483.461,0.7037
483.46,0.7037
483.459,0.7037
483.458,0.7037
483.457,0.7037
483.456,0.7037
483.455,0.7037
483.454,0.7037
483.453,0.7037
483.452,0.7037
483.451,0.7037
483.45,0.7037
483.449,0.7037
483.448,0.7037
483.447,0.7037
483.446,0.7037
483.445,0.7037
483.444,0.7037
483.443,0.7037
483.442,0.7037
483.441,0.7037
483.44,0.7037
483.439,0.7037
